request_status,date_received,date_completed,suburb,category,service_desc,days_to_complete,calc_days
CLOSED,2016-05-05,2016-05-12,Carlton,Graffiti,Graffiti Removal,7,7
CLOSED,2014-12-05,2014-12-18,Melbourne,Parks and Trees,Tree Maintenance Services,13,13
CLOSED,2014-12-16,2014-12-18,Southbank,"Waste, Street Cleaning and Litter",Public Litter Bin,2,2
CLOSED,2015-01-05,2015-01-07,Docklands,"Waste, Street Cleaning and Litter",Damaged Bins,2,2
CLOSED,2015-06-22,2015-06-25,Melbourne,Parks and Trees,Tree Maintenance Services,3,3
CLOSED,2015-04-28,2015-05-04,East Melbourne,"Waste, Street Cleaning and Litter",Missing Bin,6,6
CLOSED,2015-08-23,2015-09-02,Melbourne,Graffiti,Graffiti Removal,10,10
CLOSED,2015-05-04,2015-05-05,North Melbourne,"Waste, Street Cleaning and Litter",Waste collection services,1,1
CLOSED,2015-05-07,2015-05-18,North Melbourne,Graffiti,Graffiti Removal,11,11
CLOSED,2015-05-08,2015-05-14,South Yarra,"Waste, Street Cleaning and Litter",Public Litter Bin,6,6
CLOSED,2015-02-02,2015-02-04,Docklands,"Waste, Street Cleaning and Litter",Missed Bin Collection,2,2
CLOSED,2015-05-08,2015-05-15,West Melbourne,"Waste, Street Cleaning and Litter",Damaged Bins,7,7
CLOSED,2015-03-16,2015-03-28,Docklands,Roads and Traffic,Road and Footpath Maintenance,12,12
CLOSED,2015-05-15,2015-05-22,Kensington,"Waste, Street Cleaning and Litter",Missing Bin,7,7
CLOSED,2015-03-19,2015-04-08,Kensington,Graffiti,Graffiti Removal,20,20
CLOSED,2015-02-12,2015-02-13,Carlton,"Waste, Street Cleaning and Litter",Missed Bin Collection,1,1
CLOSED,2015-05-26,2015-05-28,Melbourne,"Waste, Street Cleaning and Litter",Missed Bin Collection,2,2
CLOSED,2015-04-02,2015-04-15,Melbourne,"Waste, Street Cleaning and Litter",Street Cleaning services,13,13
CLOSED,2015-02-17,2015-02-23,Melbourne,Parks and Trees,Tree Maintenance Services,6,6
CLOSED,2015-02-24,2015-04-14,Melbourne,Parks and Trees,Park Cleaning,49,49
CLOSED,2015-04-14,2015-04-17,Carlton,"Waste, Street Cleaning and Litter",Damaged Bins,3,3
CLOSED,2015-04-16,2015-05-05,North Melbourne,Parks and Trees,Tree Maintenance Services,19,19
CLOSED,2015-10-08,2015-10-09,Parkville,"Waste, Street Cleaning and Litter",Missed Bin Collection,1,1
CLOSED,2015-10-09,2015-10-29,Melbourne,Parks and Trees,Condition of Assets in Parks,20,20
CLOSED,2015-11-26,2015-11-27,East Melbourne,Parks and Trees,Tree Maintenance Services,1,1
CLOSED,2015-12-10,2015-12-11,Kensington,"Waste, Street Cleaning and Litter",Missed Bin Collection,1,1
CLOSED,2015-10-29,2015-10-30,Melbourne,"Waste, Street Cleaning and Litter",Waste collection services,1,1
CLOSED,2015-12-15,2015-12-17,Carlton,"Waste, Street Cleaning and Litter",Damaged Bins,2,2
CLOSED,2015-12-17,2015-12-24,Carlton,Graffiti,Graffiti Removal,7,7
CLOSED,2015-09-08,2015-09-10,North Melbourne,"Waste, Street Cleaning and Litter",Missing Bin,2,2
CLOSED,2016-02-06,2016-02-10,Parkville,Parks and Trees,Lawns and Irrigation,4,4
CLOSED,2016-02-08,2016-02-15,Carlton,"Waste, Street Cleaning and Litter",Missing Bin,7,7
CLOSED,2016-02-10,2016-02-23,Carlton,Graffiti,Graffiti Removal,13,13
CLOSED,2016-01-04,2016-01-04,North Melbourne,Parking,Parking Compliance Services,0,0
CLOSED,2016-06-19,2016-06-22,Melbourne,Graffiti,Graffiti Removal,3,3
CLOSED,2016-03-03,2016-03-05,Melbourne,"Waste, Street Cleaning and Litter",Missed Bin Collection,2,2
CLOSED,2015-10-01,2015-10-07,Port Melbourne,"Waste, Street Cleaning and Litter",Missing Bin,6,6
CLOSED,2016-04-20,2016-04-21,Melbourne,"Waste, Street Cleaning and Litter",Street Cleaning services,1,1
CLOSED,2016-04-22,2016-04-22,Southbank,Parking,Parking Compliance Services,0,0
CLOSED,2016-05-22,2016-05-30,North Melbourne,Graffiti,Graffiti Removal,8,8
CLOSED,2016-03-15,2016-03-16,Carlton,"Waste, Street Cleaning and Litter",Syringe pick-up services,1,1
CLOSED,2016-03-11,2016-03-23,Carlton,Graffiti,Graffiti Removal,12,12
CLOSED,2016-02-24,2016-02-29,Melbourne,"Waste, Street Cleaning and Litter",Missed Bin Collection,5,5
CLOSED,2016-04-12,2016-04-15,South Yarra,"Waste, Street Cleaning and Litter",Missed Bin Collection,3,3
CLOSED,2016-04-13,2016-04-20,Parkville,Roads and Traffic,Road and Footpath Maintenance,7,7
CLOSED,2016-03-08,2016-03-16,Melbourne,Graffiti,Graffiti Removal,8,8
CLOSED,2016-02-17,2016-02-23,Melbourne,"Waste, Street Cleaning and Litter",Waste collection services,6,6
CLOSED,2014-12-06,2014-12-08,East Melbourne,Parks and Trees,Condition of Assets in Parks,2,2
CLOSED,2014-12-12,2015-02-10,Melbourne,Parks and Trees,Park Cleaning,60,60
CLOSED,2014-12-16,2014-12-19,North Melbourne,"Waste, Street Cleaning and Litter",Damaged Bins,3,3
CLOSED,2014-12-29,2014-12-30,Melbourne,"Waste, Street Cleaning and Litter",Missed Bin Collection,1,1
CLOSED,2014-12-31,2015-01-14,Kensington,Graffiti,Graffiti Removal,14,14
CLOSED,2015-02-28,2015-03-03,Melbourne,"Waste, Street Cleaning and Litter",Public Litter Bin,3,3
CLOSED,2014-11-13,2014-11-17,Southbank,"Waste, Street Cleaning and Litter",Missing Bin,4,4
CLOSED,2015-01-20,2015-02-02,Parkville,Graffiti,Graffiti Removal,13,13
CLOSED,2014-11-25,2014-11-27,Southbank,"Waste, Street Cleaning and Litter",Missed Bin Collection,2,2
CLOSED,2014-12-02,2014-12-03,South Yarra,"Waste, Street Cleaning and Litter",Missed Bin Collection,1,1
CLOSED,2015-07-24,2015-07-27,Southbank,"Waste, Street Cleaning and Litter",Missed Bin Collection,3,3
CLOSED,2015-07-27,2015-08-10,Melbourne,Parks and Trees,Condition of Assets in Parks,14,14
CLOSED,2015-11-17,2015-11-24,Melbourne,Graffiti,Graffiti Removal,7,7
CLOSED,2015-07-30,2015-08-03,Melbourne,Parks and Trees,Condition of Assets in Parks,4,4
CLOSED,2015-11-19,2015-11-24,Kensington,"Waste, Street Cleaning and Litter",Damaged Bins,5,5
CLOSED,2015-11-19,2015-11-25,Kensington,"Waste, Street Cleaning and Litter",Damaged Bins,6,6
CLOSED,2015-10-07,2015-10-13,North Melbourne,Parks and Trees,Tree Maintenance Services,6,6
CLOSED,2015-06-18,2015-06-22,Southbank,"Waste, Street Cleaning and Litter",Waste collection services,4,4
CLOSED,2015-10-14,2015-10-23,East Melbourne,Graffiti,Graffiti Removal,9,9
CLOSED,2015-06-29,2015-07-10,North Melbourne,Graffiti,Graffiti Removal,11,11
CLOSED,2015-10-19,2015-10-20,South Yarra,"Waste, Street Cleaning and Litter",Missing Bin,1,1
CLOSED,2015-05-06,2015-05-19,West Melbourne,Graffiti,Graffiti Removal,13,13
CLOSED,2016-01-13,2016-01-21,Melbourne,Graffiti,Graffiti Removal,8,8
CLOSED,2016-01-25,2016-02-02,North Melbourne,"Waste, Street Cleaning and Litter",Damaged Bins,8,8
CLOSED,2015-12-21,2016-01-15,Carlton,Graffiti,Graffiti Removal,25,25
CLOSED,2016-06-01,2016-06-10,Carlton,Graffiti,Graffiti Removal,9,9
CLOSED,2016-06-03,2016-06-07,North Melbourne,"Waste, Street Cleaning and Litter",Damaged Bins,4,4
CLOSED,2016-06-03,2016-06-07,Melbourne,Graffiti,Graffiti Removal,4,4
CLOSED,2016-03-18,2016-03-23,Kensington,"Waste, Street Cleaning and Litter",Missed Bin Collection,5,5
CLOSED,2016-03-29,2016-03-31,Docklands,"Waste, Street Cleaning and Litter",Missed Bin Collection,2,2
CLOSED,2016-05-25,2016-06-27,Carlton North,Graffiti,Graffiti Removal,33,33
CLOSED,2016-04-04,2016-04-07,Docklands,Parks and Trees,Condition of Assets in Parks,3,3
CLOSED,2014-12-01,2014-12-03,Southbank,"Waste, Street Cleaning and Litter",Damaged Bins,2,2
CLOSED,2015-03-12,2015-03-12,Kensington,"Waste, Street Cleaning and Litter",Missed Bin Collection,0,0
CLOSED,2015-07-06,2015-07-20,Carlton North,Graffiti,Graffiti Removal,14,14
CLOSED,2014-12-09,2015-01-07,North Melbourne,Graffiti,Graffiti Removal,29,29
CLOSED,2015-02-05,2015-02-06,Melbourne,"Waste, Street Cleaning and Litter",Damaged Bins,1,1
CLOSED,2015-02-09,2015-02-11,West Melbourne,"Waste, Street Cleaning and Litter",Missed Bin Collection,2,2
CLOSED,2014-12-17,2014-12-19,Port Melbourne,"Waste, Street Cleaning and Litter",Missed Bin Collection,2,2
CLOSED,2014-12-24,2014-12-24,Melbourne,Graffiti,Graffiti Removal,0,0
CLOSED,2015-04-07,2015-04-09,East Melbourne,"Waste, Street Cleaning and Litter",Missing Bin,2,2
CLOSED,2015-06-04,2015-06-05,South Yarra,"Waste, Street Cleaning and Litter",Dumped Rubbish,1,1
CLOSED,2015-06-09,2015-07-13,Melbourne,Parks and Trees,Park Cleaning,34,34
CLOSED,2015-01-02,2015-01-08,Melbourne,Parks and Trees,Lawns and Irrigation,6,6
CLOSED,2015-04-14,2015-04-21,West Melbourne,Graffiti,Graffiti Removal,7,7
CLOSED,2015-06-16,2015-06-18,South Yarra,"Waste, Street Cleaning and Litter",Missed Bin Collection,2,2
CLOSED,2015-12-03,2015-12-07,Melbourne,"Waste, Street Cleaning and Litter",Missed Bin Collection,4,4
CLOSED,2015-12-04,2015-12-08,Carlton,"Waste, Street Cleaning and Litter",Missed Bin Collection,4,4
CLOSED,2015-10-20,2015-10-22,Melbourne,"Waste, Street Cleaning and Litter",Missing Bin,2,2
CLOSED,2015-09-17,2015-09-22,Melbourne,Parks and Trees,Tree Maintenance Services,5,5
CLOSED,2016-01-01,2016-01-07,Melbourne,Graffiti,Graffiti Removal,6,6
CLOSED,2016-01-04,2016-01-04,East Melbourne,Parks and Trees,Condition of Assets in Parks,0,0
CLOSED,2015-09-24,2015-10-13,East Melbourne,Graffiti,Graffiti Removal,19,19
CLOSED,2016-04-05,2016-04-06,Kensington,"Waste, Street Cleaning and Litter",Missed Bin Collection,1,1
CLOSED,2016-02-05,2016-02-10,North Melbourne,Roads and Traffic,Traffic Management,5,5
CLOSED,2016-02-10,2016-02-19,Carlton North,Parks and Trees,Condition of Assets in Parks,9,9
CLOSED,2016-04-07,2016-04-11,West Melbourne,"Waste, Street Cleaning and Litter",Missed Bin Collection,4,4
CLOSED,2015-04-07,2015-04-14,Carlton North,Graffiti,Graffiti Removal,7,7
CLOSED,2015-04-09,2015-04-10,South Yarra,"Waste, Street Cleaning and Litter",Missing Bin,1,1
CLOSED,2015-04-09,2015-04-10,Carlton,"Waste, Street Cleaning and Litter",Damaged Bins,1,1
CLOSED,2015-06-05,2015-06-09,North Melbourne,"Waste, Street Cleaning and Litter",Missed Bin Collection,4,4
CLOSED,2015-06-05,2015-06-10,Carlton,"Waste, Street Cleaning and Litter",Public Litter Bin,5,5
CLOSED,2015-07-28,2015-08-04,Melbourne,Graffiti,Graffiti Removal,7,7
CLOSED,2016-01-13,2016-01-15,North Melbourne,Graffiti,Graffiti Removal,2,2
CLOSED,2015-12-01,2015-12-08,Melbourne,Graffiti,Graffiti Removal,7,7
CLOSED,2015-12-02,2015-12-03,Kensington,"Waste, Street Cleaning and Litter",Missed Bin Collection,1,1
CLOSED,2015-12-02,2015-12-15,Kensington,Graffiti,Graffiti Removal,13,13
CLOSED,2015-12-04,2015-12-07,Melbourne,Parks and Trees,Park Cleaning,3,3
CLOSED,2015-12-07,2015-12-16,Kensington,"Waste, Street Cleaning and Litter",Street Cleaning services,9,9
CLOSED,2015-10-15,2015-10-19,Carlton,Parks and Trees,Lawns and Irrigation,4,4
CLOSED,2015-10-16,2015-10-20,North Melbourne,"Waste, Street Cleaning and Litter",Missing Bin,4,4
CLOSED,2015-10-20,2015-10-23,Melbourne,"Waste, Street Cleaning and Litter",Missing Bin,3,3
CLOSED,2015-10-23,2015-11-09,Melbourne,Parks and Trees,Condition of Assets in Parks,17,17
CLOSED,2015-12-17,2015-12-21,Carlton,Parks and Trees,Condition of Assets in Parks,4,4
CLOSED,2016-02-05,2016-02-09,Melbourne,Graffiti,Graffiti Removal,4,4
CLOSED,2016-01-05,2016-02-04,East Melbourne,Graffiti,Graffiti Removal,30,30
CLOSED,2015-09-27,2015-10-08,Melbourne,Parks and Trees,Tree Maintenance Services,11,11
CLOSED,2016-05-11,2016-06-06,Parkville,"Waste, Street Cleaning and Litter",Missed Bin Collection,26,26
CLOSED,2016-06-11,2016-06-20,Melbourne,"Waste, Street Cleaning and Litter",Public Litter Bin,9,9
CLOSED,2016-03-09,2016-03-10,South Yarra,Parks and Trees,Condition of Assets in Parks,1,1
CLOSED,2016-03-09,2016-03-23,Kensington,Parks and Trees,Tree Maintenance Services,14,14
CLOSED,2016-03-09,2016-03-29,Melbourne,Parks and Trees,Condition of Assets in Parks,20,20
CLOSED,2016-05-20,2016-06-21,Carlton,Graffiti,Graffiti Removal,32,32
CLOSED,2016-03-11,2016-03-21,Docklands,Parks and Trees,Condition of Assets in Parks,10,10
CLOSED,2016-05-20,2016-05-23,West Melbourne,"Waste, Street Cleaning and Litter",Missed Bin Collection,3,3
CLOSED,2016-04-28,2016-05-05,Kensington,"Waste, Street Cleaning and Litter",Missed Bin Collection,7,7
CLOSED,2016-03-29,2016-03-31,Melbourne,"Waste, Street Cleaning and Litter",Street Cleaning services,2,2
CLOSED,2016-03-18,2016-03-31,East Melbourne,"Waste, Street Cleaning and Litter",Waste collection services,13,13
CLOSED,2016-05-12,2016-05-18,Carlton,Parks and Trees,Condition of Assets in Parks,6,6
CLOSED,2016-03-21,2016-03-23,Carlton,Parks and Trees,Tree Maintenance Services,2,2
CLOSED,2016-03-26,2016-03-31,Melbourne,"Waste, Street Cleaning and Litter",Public Litter Bin,5,5
CLOSED,2014-12-11,2014-12-19,North Melbourne,Graffiti,Graffiti Removal,8,8
CLOSED,2015-02-09,2015-02-11,Parkville,"Waste, Street Cleaning and Litter",Missed Bin Collection,2,2
CLOSED,2015-02-10,2015-02-12,Melbourne,Parks and Trees,Tree Maintenance Services,2,2
CLOSED,2015-02-12,2015-02-17,Carlton,Graffiti,Graffiti Removal,5,5
CLOSED,2015-02-12,2015-02-17,Kensington,Parks and Trees,Tree Maintenance Services,5,5
CLOSED,2014-11-19,2014-11-27,Melbourne,Parks and Trees,Condition of Assets in Parks,8,8
CLOSED,2014-11-24,2014-12-22,Parkville,Parks and Trees,Condition of Assets in Parks,28,28
CLOSED,2014-11-24,2014-11-26,Kensington,"Waste, Street Cleaning and Litter",Public Litter Bin,2,2
CLOSED,2014-12-03,2014-12-18,Melbourne,Graffiti,Graffiti Removal,15,15
CLOSED,2015-06-04,2015-06-09,Southbank,"Waste, Street Cleaning and Litter",Damaged Bins,5,5
CLOSED,2015-09-29,2015-10-13,Carlton,Graffiti,Graffiti Removal,14,14
CLOSED,2015-11-18,2015-11-27,North Melbourne,Graffiti,Graffiti Removal,9,9
CLOSED,2015-10-01,2015-10-09,North Melbourne,Parks and Trees,Condition of Assets in Parks,8,8
CLOSED,2015-10-06,2015-10-13,Melbourne,Graffiti,Graffiti Removal,7,7
CLOSED,2015-06-12,2015-06-15,Melbourne,"Waste, Street Cleaning and Litter",Missed Bin Collection,3,3
CLOSED,2015-11-25,2015-12-23,Melbourne,Roads and Traffic,Road and Footpath Maintenance,28,28
CLOSED,2015-10-14,2015-11-04,Carlton,Graffiti,Graffiti Removal,21,21
CLOSED,2015-10-14,2015-10-14,North Melbourne,"Waste, Street Cleaning and Litter",Missed Bin Collection,0,0
CLOSED,2015-10-19,2015-10-21,East Melbourne,"Waste, Street Cleaning and Litter",Missed Bin Collection,2,2
CLOSED,2015-08-28,2015-09-02,East Melbourne,Graffiti,Graffiti Removal,5,5
CLOSED,2015-08-31,2015-09-17,Melbourne,Parks and Trees,Tree Maintenance Services,17,17
CLOSED,2015-08-31,2015-10-13,Melbourne,Graffiti,Graffiti Removal,43,43
CLOSED,2015-08-31,2015-09-04,Kensington,"Waste, Street Cleaning and Litter",Missed Bin Collection,4,4
CLOSED,2015-05-05,2015-05-07,North Melbourne,"Waste, Street Cleaning and Litter",Public Litter Bin,2,2
CLOSED,2015-07-09,2015-07-30,Carlton North,Graffiti,Graffiti Removal,21,21
CLOSED,2015-10-29,2015-10-30,Melbourne,Graffiti,Graffiti Removal,1,1
CLOSED,2015-05-14,2015-06-12,Parkville,Parks and Trees,Condition of Assets in Parks,29,29
CLOSED,2015-07-15,2015-07-21,Port Melbourne,"Waste, Street Cleaning and Litter",Waste collection services,6,6
CLOSED,2016-06-20,2016-06-27,North Melbourne,Parks and Trees,Tree Maintenance Services,7,7
CLOSED,2016-05-10,2016-05-12,Kensington,"Waste, Street Cleaning and Litter",Waste collection services,2,2
CLOSED,2016-01-07,2016-01-12,Melbourne,"Waste, Street Cleaning and Litter",Public Litter Bin,5,5
CLOSED,2015-12-01,2015-12-04,West Melbourne,Parks and Trees,Tree Maintenance Services,3,3
CLOSED,2016-03-02,2016-03-09,Kensington,"Waste, Street Cleaning and Litter",Damaged Bins,7,7
CLOSED,2015-12-03,2015-12-03,Docklands,Parking,Parking Compliance Services,0,0
CLOSED,2015-12-04,2015-12-07,West Melbourne,"Waste, Street Cleaning and Litter",Missed Bin Collection,3,3
CLOSED,2015-12-04,2015-12-08,Carlton,Graffiti,Graffiti Removal,4,4
CLOSED,2016-06-20,2016-06-21,Southbank,"Waste, Street Cleaning and Litter",Missed Bin Collection,1,1
CLOSED,2016-03-16,2016-03-17,North Melbourne,"Waste, Street Cleaning and Litter",Missed Bin Collection,1,1
CLOSED,2015-12-14,2015-12-16,East Melbourne,"Waste, Street Cleaning and Litter",Missing Bin,2,2
CLOSED,2016-02-25,2016-03-01,Melbourne,Roads and Traffic,Road and Footpath Maintenance,5,5
CLOSED,2016-02-05,2016-02-08,Southbank,"Waste, Street Cleaning and Litter",Missed Bin Collection,3,3
CLOSED,2016-02-08,2016-02-12,North Melbourne,"Waste, Street Cleaning and Litter",Damaged Bins,4,4
CLOSED,2016-02-26,2016-03-02,East Melbourne,Roads and Traffic,Road and Footpath Maintenance,5,5
CLOSED,2016-03-18,2016-03-30,Melbourne,Graffiti,Graffiti Removal,12,12
CLOSED,2016-03-21,2016-03-22,Melbourne,Graffiti,Graffiti Removal,1,1
CLOSED,2015-12-29,2015-12-31,North Melbourne,"Waste, Street Cleaning and Litter",Damaged Bins,2,2
CLOSED,2016-05-16,2016-05-23,Southbank,"Waste, Street Cleaning and Litter",Missed Bin Collection,7,7
CLOSED,2016-05-20,2016-05-20,Southbank,Parking,Parking Compliance Services,0,0
CLOSED,2016-03-01,2016-03-08,Kensington,"Waste, Street Cleaning and Litter",Missing Bin,7,7
CLOSED,2016-05-09,2016-05-23,Melbourne,Graffiti,Graffiti Removal,14,14
CLOSED,2016-04-27,2016-04-27,Melbourne,"Waste, Street Cleaning and Litter",Missed Bin Collection,0,0
CLOSED,2016-03-29,2016-04-11,Carlton,Graffiti,Graffiti Removal,13,13
CLOSED,2015-12-07,2015-12-08,NA,"Waste, Street Cleaning and Litter",Dumped Rubbish,1,1
CLOSED,2015-12-03,2015-12-14,NA,Roads and Traffic,Road and Footpath Maintenance,11,11
CLOSED,2016-01-05,2016-01-18,Kensington,"Waste, Street Cleaning and Litter",Organic Waste,13,13
CLOSED,2015-12-14,2016-01-15,NA,Graffiti,Graffiti Removal,32,32
CLOSED,2015-12-15,2015-12-22,NA,Parks and Trees,Condition of Assets in Parks,7,7
CLOSED,2015-12-21,2015-12-22,NA,"Waste, Street Cleaning and Litter",Public Litter Bin,1,1
CLOSED,2016-01-18,2016-01-22,NA,Graffiti,Graffiti Removal,4,4
CLOSED,2016-05-27,2016-05-30,North Melbourne,"Waste, Street Cleaning and Litter",Street Cleaning services,3,3
CLOSED,2016-04-07,2016-04-11,Melbourne,"Waste, Street Cleaning and Litter",Missed Bin Collection,4,4
CLOSED,2016-04-07,2016-04-21,Carlton North,Parks and Trees,Condition of Assets in Parks,14,14
CLOSED,2016-06-08,2016-06-09,South Yarra,"Waste, Street Cleaning and Litter",Missed Bin Collection,1,1
CLOSED,2014-11-11,2014-11-11,Melbourne,"Waste, Street Cleaning and Litter",Missed Bin Collection,0,0
CLOSED,2015-03-03,2015-03-11,Melbourne,Parks and Trees,Tree Maintenance Services,8,8
CLOSED,2015-01-12,2015-01-22,Melbourne,Graffiti,Graffiti Removal,10,10
CLOSED,2015-03-04,2015-03-12,South Yarra,Parks and Trees,Tree Maintenance Services,8,8
CLOSED,2015-05-04,2015-05-08,Parkville,Parks and Trees,Park Cleaning,4,4
CLOSED,2015-03-13,2015-03-16,East Melbourne,"Waste, Street Cleaning and Litter",Missed Bin Collection,3,3
CLOSED,2015-03-17,2015-04-01,West Melbourne,Graffiti,Graffiti Removal,15,15
CLOSED,2015-02-19,2015-02-23,Carlton,Parks and Trees,Condition of Assets in Parks,4,4
CLOSED,2015-04-17,2015-04-21,Kensington,"Waste, Street Cleaning and Litter",Missing Bin,4,4
CLOSED,2015-04-21,2015-04-23,North Melbourne,"Waste, Street Cleaning and Litter",Missed Bin Collection,2,2
CLOSED,2015-06-22,2015-06-24,Southbank,"Waste, Street Cleaning and Litter",Damaged Bins,2,2
CLOSED,2015-10-05,2015-10-07,West Melbourne,"Waste, Street Cleaning and Litter",Missed Bin Collection,2,2
CLOSED,2015-11-24,2015-11-26,North Melbourne,Parks and Trees,Tree Maintenance Services,2,2
CLOSED,2015-11-24,2015-12-08,Melbourne,Parks and Trees,Condition of Assets in Parks,14,14
CLOSED,2015-08-18,2015-09-24,Carlton,Parks and Trees,Park Cleaning,37,37
CLOSED,2015-08-13,2015-08-14,Melbourne,"Waste, Street Cleaning and Litter",Missing Bin,1,1
CLOSED,2015-08-13,2015-08-18,West Melbourne,"Waste, Street Cleaning and Litter",Damaged Bins,5,5
CLOSED,2015-08-26,2015-08-27,North Melbourne,"Waste, Street Cleaning and Litter",Waste collection services,1,1
CLOSED,2015-07-13,2015-07-17,North Melbourne,Parks and Trees,Tree Maintenance Services,4,4
CLOSED,2015-10-28,2015-11-18,East Melbourne,Roads and Traffic,Road and Footpath Maintenance,21,21
CLOSED,2015-07-19,2015-07-22,Parkville,Parks and Trees,Condition of Assets in Parks,3,3
CLOSED,2015-07-20,2015-07-21,Melbourne,Graffiti,Graffiti Removal,1,1
CLOSED,2015-08-05,2015-08-17,Melbourne,Asset maintenance,Bridge Maintenance,12,12
CLOSED,2016-01-04,2016-01-05,North Melbourne,"Waste, Street Cleaning and Litter",Missed Bin Collection,1,1
CLOSED,2016-01-05,2016-01-08,Carlton,Graffiti,Graffiti Removal,3,3
CLOSED,2016-01-06,2016-01-07,Melbourne,Parks and Trees,Condition of Assets in Parks,1,1
CLOSED,2015-09-25,2015-09-29,East Melbourne,"Waste, Street Cleaning and Litter",Missed Bin Collection,4,4
CLOSED,2015-11-17,2015-11-19,Kensington,Parks and Trees,Tree Maintenance Services,2,2
CLOSED,2015-11-23,2015-11-27,Kensington,"Waste, Street Cleaning and Litter",Waste collection services,4,4
CLOSED,2016-03-15,2016-03-22,Carlton,Graffiti,Graffiti Removal,7,7
CLOSED,2016-03-23,2016-03-29,Melbourne,Graffiti,Graffiti Removal,6,6
CLOSED,2016-06-20,2016-06-23,North Melbourne,"Waste, Street Cleaning and Litter",Missed Bin Collection,3,3
CLOSED,2016-02-22,2016-02-25,Melbourne,"Waste, Street Cleaning and Litter",Public Litter Bin,3,3
CLOSED,2016-05-19,2016-05-19,North Melbourne,"Waste, Street Cleaning and Litter",Street Cleaning services,0,0
CLOSED,2016-01-29,2016-02-02,Carlton,"Waste, Street Cleaning and Litter",Missing Bin,4,4
CLOSED,2016-01-29,2016-02-01,Melbourne,Graffiti,Graffiti Removal,3,3
CLOSED,2016-04-04,2016-04-18,Carlton,Parks and Trees,Condition of Assets in Parks,14,14
CLOSED,2015-08-14,2015-08-17,NA,"Waste, Street Cleaning and Litter",Syringe pick-up services,3,3
CLOSED,2015-08-31,2015-09-03,NA,"Waste, Street Cleaning and Litter",Missed Bin Collection,3,3
CLOSED,2015-09-04,2015-10-07,NA,Roads and Traffic,Traffic Management,33,33
CLOSED,2015-07-31,2015-08-26,NA,Asset maintenance,Street Maintenance,26,26
CLOSED,2015-09-01,2015-09-11,NA,Roads and Traffic,Road and Footpath Maintenance,10,10
CLOSED,2015-08-04,2015-12-30,NA,Parking,Parking Meter Service,148,148
CLOSED,2015-07-10,2015-07-13,NA,"Waste, Street Cleaning and Litter",Dumped Rubbish,3,3
CLOSED,2015-07-16,2015-07-22,NA,"Waste, Street Cleaning and Litter",Dumped Rubbish,6,6
CLOSED,2015-08-06,2015-08-20,NA,"Waste, Street Cleaning and Litter",Syringe pick-up services,14,14
CLOSED,2015-08-11,2015-08-20,NA,Parks and Trees,Condition of Assets in Parks,9,9
CLOSED,2015-09-01,2015-09-03,NA,"Waste, Street Cleaning and Litter",Dumped Rubbish,2,2
CLOSED,2015-09-06,2015-09-07,NA,"Waste, Street Cleaning and Litter",Dumped Rubbish,1,1
CLOSED,2015-07-22,2015-07-29,NA,"Waste, Street Cleaning and Litter",Public Litter Bin,7,7
CLOSED,2015-08-02,2015-08-02,NA,"Waste, Street Cleaning and Litter",Dumped Rubbish,0,0
CLOSED,2015-08-02,2015-08-05,NA,Roads and Traffic,Traffic Management,3,3
CLOSED,2015-08-10,2015-08-28,NA,Parks and Trees,Tree Maintenance Services,18,18
CLOSED,2015-08-26,2015-09-08,NA,Graffiti,Graffiti Removal,13,13
CLOSED,2015-09-28,2015-09-28,NA,Roads and Traffic,Drain Maintenance,0,0
CLOSED,2015-07-27,2015-08-07,NA,"Waste, Street Cleaning and Litter",Street Cleaning services,11,11
CLOSED,2015-07-28,2015-08-05,NA,Roads and Traffic,Traffic Management,8,8
CLOSED,2015-08-15,2015-08-20,NA,Graffiti,Graffiti Removal,5,5
CLOSED,2015-08-03,2015-08-07,NA,"Waste, Street Cleaning and Litter",Waste collection services,4,4
CLOSED,2015-09-23,2015-10-09,NA,Parks and Trees,Park Cleaning,16,16
CLOSED,2015-09-29,2015-09-30,NA,"Waste, Street Cleaning and Litter",Public Litter Bin,1,1
CLOSED,2015-08-13,2015-08-13,NA,Asset maintenance,Street Lighting Maintenance,0,0
CLOSED,2015-09-14,2015-09-23,NA,"Waste, Street Cleaning and Litter",Waste collection services,9,9
CLOSED,2015-09-18,2015-10-09,NA,Roads and Traffic,Traffic Management,21,21
CLOSED,2015-08-04,2015-08-05,NA,"Waste, Street Cleaning and Litter",Street Cleaning services,1,1
CLOSED,2015-08-28,2016-03-10,NA,Parking,Parking Meter Service,195,195
CLOSED,2015-09-30,2015-10-21,NA,Parks and Trees,Tree Maintenance Services,21,21
CLOSED,2016-02-04,2016-02-09,NA,"Waste, Street Cleaning and Litter",Missed Bin Collection,5,5
CLOSED,2016-01-07,2016-01-07,NA,"Waste, Street Cleaning and Litter",Waste Compactor,0,0
CLOSED,2016-02-01,2016-02-26,NA,Graffiti,Graffiti Removal,25,25
CLOSED,2015-10-05,2015-10-06,NA,Asset maintenance,Street Maintenance,1,1
CLOSED,2016-01-04,2016-01-06,NA,"Waste, Street Cleaning and Litter",Missed Bin Collection,2,2
CLOSED,2015-12-11,2015-12-15,NA,Roads and Traffic,Traffic Management,4,4
CLOSED,2016-02-05,2016-03-01,NA,Graffiti,Graffiti Removal,25,25
